flota,f. Conjunto de barcos mercantes de un país de una compañía de navegación o de una línea marítima
hojuela,f. Fruta de sartén muy extendida y delgada
saqueo,m. Acción y efecto de saquear
galope,m. Marcha rápida de una caballería más veloz que el trote que consiste en avanzar saltando y manteniendo en algún momento las cuatro patas en el aire
normal,adj. Dicho de una cosa Que se halla en su estado natural
noquear,tr. Dep. En el boxeo dejar al adversario fuera de combate
vida,f. Fuerza o actividad esencial mediante la que obra el ser que la posee
veranear,intr. Pasar las vacaciones de verano en lugar distinto de aquel en que habitualmente se reside
tristeza,f. Cualidad de triste
circonio,m. Elemento químico metálico de núm. atóm. de color negro o gris acerado refractario mal conductor de la electricidad y de gran resistencia mecánica y a la corrosión no muy abundante en la corteza terrestre donde se encuentra casi siempre en forma de silicato en el circón y que se usa en lámparas de incandescencia y tubos de vacío así como en las industrias cerámica química aeronáutica y nuclear Símb.
sumergir,tr. Meter algo debajo del agua o de otro líquido U. t. c. prnl.
difícil,adj. Que presenta obstáculos impedimentos
yegua,f. Hembra del caballo
